family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,beam,power_kw,sigma_x_mm
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,11.998382075860826,11.998216024966691,11.996247828680392,-0.016404074424092308,-0.017787791445045276,0.10488625219220982,1.3967077768573999,injection,100,12
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,12.998247248849232,12.997997991648655,12.99626003913509,-0.01337092461994871,-0.015288289844761493,0.10306999379221118,1.3395843810946007,injection,100,13
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,13.998112421837636,13.997806326379015,13.996378754450639,-0.010198540364758646,-0.012385008312210122,0.10128471938192903,1.1227889172682144,injection,100,14
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,14.997977594826041,14.997671345335377,14.99654743230127,-0.007493916943690504,-0.009535702502083687,0.09823933585654068,1.1741734860910995,injection,100,15
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,15.997842767814449,15.997695612718044,15.996680535220559,-0.006345148214204066,-0.007264933221051706,0.09549079508007657,1.1739549347304,injection,100,16
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,16.99770794080285,16.997784859771873,16.996738939706265,-0.006153272760156536,-0.005700775068973041,0.09272293291396408,1.1737252916279992,injection,100,17
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,17.99757311379126,17.997618896564386,17.996795887825122,-0.004572875689801137,-0.00431850428511682,0.09023431441381217,1.1734897766746997,injection,100,18
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,18.997438286779666,18.99739786344846,18.996669882335592,-0.0038320043518558222,-0.004044779261680453,0.08837849731319544,1.1732519658560019,injection,100,19
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,19.99730345976807,19.997146216373764,19.996605696743206,-0.002702983839342199,-0.0034892855742651996,0.08638922897682372,1.1730143249655,injection,100,20
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,2.999595518965177,4.213144198953447,9.35114385007534,121.9516685993843,211.74682689555988,11.315409399055316,60.3097489426258,injection,200,3
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,3.9994606919535824,4.971146530261057,11.555316535708224,132.44771533824417,188.92186786473695,14.799481992911684,69.9998229900228,injection,200,4
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,4.999325864941988,5.802970484204038,13.515296634924027,132.90307389488382,170.34238215397585,18.07825435910991,65.3086614487779,injection,200,5
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,5.999191037930394,6.681205837325325,14.709003153124288,120.15491681083601,145.18310985806866,20.34750393883547,63.75914254140331,injection,200,6
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,6.9990562109187975,7.589418857080066,14.826004855583783,95.35098977641488,111.82862958658117,21.18637875055286,62.569204386813,injection,200,7
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,7.998921383907205,8.518306589113498,13.99873751179086,64.33709406141146,75.00781467804534,20.99707374012817,60.2732979056988,injection,200,8
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,8.99878655689561,9.461525921244048,12.762887054670085,34.89248098991582,41.82897854033567,20.350966556859344,56.524583132441094,injection,200,9
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.415262351080944,11.437241213514264,9.81231992036431,14.387834705059156,19.540305633672297,54.13487204492,injection,200,10
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,10.998516902872419,11.377053528533205,10.18618740252165,-10.467263101337343,-7.385809446168301,18.6917085931247,50.0988890272238,injection,200,11
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,11.998382075860826,12.344960588453157,9.116830045103574,-26.149379094567628,-24.01617161829308,17.86288469494708,47.662010752589005,injection,200,12
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,12.998247248849232,13.317521317885605,8.304241513817209,-37.64424087938569,-36.11260537798737,17.074004797589605,45.3502232797929,injection,200,13
