family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,mean_initial_mm,mean_sc_on_mm,mean_sc_off_mm,centroid_shift_vs_no_sc_mm,species,species_label,beam,dx_mm,dy_mm,power_kw
extraction_ions,1000,0.1,99714,100007,100007,100007,0.997070205085644,1.0,10.014268152372116,10.019461502661958,24.938499480915084,148.900596846342,149.02967547366717,21.072225445338265,131.2475769338537,-0.030993296278059152,-0.08405102203823234,-0.03233529661742959,-0.051715725420802744,ions,H₂⁺,extraction,0,0,500
extraction_ions,0,0.0,100007,100007,100007,100007,1.0,1.0,10.019461502661963,10.019461502661963,13.371348942553185,33.453768338754486,33.453768338754486,4.209509045279263,27.496022460736004,4.967664703382552,4.955361232759884,4.967664703382552,-0.012303470622668122,ions,H₂⁺,extraction,5,0,100
extraction_ions,200,0.02,100007,100007,100007,100007,1.0,1.0,10.019461502661963,10.019461502661963,13.363938559935447,33.37980844963499,33.37980844963499,4.19983839873223,27.344171535088204,4.967664703382552,4.9547526206283745,4.967664703382552,-0.012912082754177767,ions,H₂⁺,extraction,5,0,100
extraction_ions,1000,0.1,100007,100007,100007,100007,1.0,1.0,10.019461502661963,10.019461502661963,13.190293613306473,31.64673181090705,31.64673181090705,3.9727106756264297,24.2730957339331,4.967664703382552,4.953010037928177,4.967664703382552,-0.014654665454375326,ions,H₂⁺,extraction,5,0,100
extraction_ions,0,0.0,99517,100007,100007,100007,0.9951003429759917,1.0,10.010100579488727,10.019461502661963,25.224983446018474,151.75987191843313,151.9953045996952,24.261058199625147,134.7670311680184,4.9595688448551565,4.842117880202592,4.967664703382552,-0.12554682317996058,ions,H₂⁺,extraction,5,0,500
extraction_ions,200,0.02,99528,100007,100007,100007,0.9952103352765307,1.0,10.01057211420323,10.019461502661963,25.223083733645574,151.74091169414967,151.96445763432922,24.250124806902654,138.281270341373,4.958510084356347,4.831961685058258,4.967664703382552,-0.13570301832429443,ions,H₂⁺,extraction,5,0,500
extraction_ions,1000,0.1,99721,100007,100007,100007,0.997140200185987,1.0,10.013917876087358,10.019461502661963,24.963631191449846,149.15142580085293,149.28935408049946,22.497743809994898,131.7124760293201,4.958395923242661,4.81331773330102,4.967664703382552,-0.15434697008153186,ions,H₂⁺,extraction,5,0,500
extraction_ions,0,0.0,100007,100007,100007,100007,1.0,1.0,10.019461502661974,10.019461502661974,13.371348942553192,33.45376833875442,33.45376833875442,4.209509045279257,27.496022460736,9.967664703382539,9.955361232759872,9.967664703382539,-0.012303470622667234,ions,H₂⁺,extraction,10,0,100
extraction_ions,200,0.02,100007,100007,100007,100007,1.0,1.0,10.019461502661974,10.019461502661974,13.363938559935454,33.37980844963493,33.37980844963493,4.199838398732225,27.3441715350882,9.967664703382539,9.954752620628364,9.967664703382539,-0.012912082754175103,ions,H₂⁺,extraction,10,0,100
extraction_ions,1000,0.1,100007,100007,100007,100007,1.0,1.0,10.019461502661974,10.019461502661974,13.190293613306482,31.646731810907003,31.646731810907003,3.9727106756264248,24.2730957339331,9.967664703382539,9.953010037928165,9.967664703382539,-0.014654665454374438,ions,H₂⁺,extraction,10,0,100
extraction_ions,0,0.0,99509,100007,100007,100007,0.9950203485755997,1.0,10.009551966294971,10.019461502661974,25.240699037527477,151.9167225785689,152.1661221453282,24.229552268552148,152.21586095320708,9.946975819702802,9.723373928771805,9.967664703382539,-0.24429077461073412,ions,H₂⁺,extraction,10,0,500
extraction_ions,200,0.02,99519,100007,100007,100007,0.9951203415760896,1.0,10.009778060998478,10.019461502661974,25.234912504206328,151.85896964125175,152.1026175648208,24.281122388775973,139.4967003372518,9.94712472789999,9.720902079409445,9.967664703382539,-0.246762623973094,ions,H₂⁺,extraction,10,0,500
extraction_ions,1000,0.1,99696,100007,100007,100007,0.996890217684762,1.0,10.012917879464274,10.019461502661974,24.93396777058861,148.85536776566428,149.01799925600372,23.932023589182783,134.0026236046862,9.947581697356563,9.71699616817961,9.967664703382539,-0.2506685352029283,ions,H₂⁺,extraction,10,0,500
