family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,species,species_label,beam,power_kw,sigma_x_mm
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,16.969139319158835,16.969139319158835,22.822252078577904,34.492690815559946,34.492690815559946,6.630497288353286,16.3146926555523,ions,H₂⁺,injection,100,17
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,17.967323984991708,17.967323984991708,23.53837513764827,31.00657147002035,31.00657147002035,6.336157340087634,15.630736726722404,ions,H₂⁺,injection,100,18
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,18.965508650824585,18.965508650824585,24.28137137830264,28.029107077214775,28.029107077214775,6.068684247601376,15.028961860025102,ions,H₂⁺,injection,100,19
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,19.963693316657462,19.963693316657462,25.047469685939337,25.465109529808473,25.465109529808473,5.824175239765372,14.471622202915704,ions,H₂⁺,injection,100,20
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,2.9945539974985853,2.9945539974985853,28.135578602792183,839.5582322540996,839.5582322540996,25.771236345742818,62.095034090948,ions,H₂⁺,injection,100,3
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,3.9927386633314605,3.9927386633314605,23.62268108228559,491.64105327583104,491.64105327583104,20.31254167974322,48.5565898115084,ions,H₂⁺,injection,100,4
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,4.990923329164335,4.990923329164335,21.260443591504764,325.9821718211918,325.9821718211918,16.997710888795055,40.6984129448977,ions,H₂⁺,injection,100,5
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,5.989107994997211,5.989107994997211,19.96827831317595,233.40988891594114,233.40988891594114,14.743932389348618,35.2908209666155,ions,H₂⁺,injection,100,6
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,6.987292660830085,6.987292660830085,19.288942057865818,176.05745163641546,176.05745163641546,13.093507670835848,31.4339315177013,ions,H₂⁺,injection,100,7
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,7.98547732666296,7.98547732666296,18.99620689586381,137.8844259245065,137.8844259245065,11.820982687647417,28.457130263417206,ions,H₂⁺,injection,100,8
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,8.983661992495835,8.983661992495835,18.96606529594405,111.11730730504598,111.11730730504598,10.803621616531641,26.0549527297176,ions,H₂⁺,injection,100,9
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,19.122859252188363,91.57636764768895,91.57636764768895,9.9671093015538,24.1142782140261,ions,H₂⁺,injection,100,10
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,10.980031324161585,10.980031324161585,19.418985539612123,76.8572872545509,76.8572872545509,9.265170915338699,22.456748261387894,ions,H₂⁺,injection,100,11
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,11.97821598999446,11.97821598999446,19.82048835820295,65.47112169925163,65.47112169925163,8.66484416559862,21.012134849661905,ions,H₂⁺,injection,100,12
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,12.976400655827335,12.976400655827335,20.30538772431803,56.47935250210894,56.47935250210894,8.145174315642908,19.8025663377012,ions,H₂⁺,injection,100,13
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,13.974585321660209,13.974585321660209,20.8565167660972,49.2460512139147,49.2460512139147,7.689601297199518,18.7515677796626,ions,H₂⁺,injection,100,14
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,14.972769987493084,14.972769987493084,21.46158536332712,43.33744110978939,43.33744110978939,7.28641684107171,17.832125468037997,ions,H₂⁺,injection,100,15
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,15.970954653325961,15.970954653325961,22.11091290445465,38.44452873610808,38.44452873610808,6.926544161153326,17.015394568909198,ions,H₂⁺,injection,100,16
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,16.969139319158835,16.969139319158835,22.796996193154023,34.34385659981767,34.34385659981767,6.602628293985099,16.241933217588198,ions,H₂⁺,injection,100,17
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,17.967323984991708,17.967323984991708,23.514420795702318,30.87324976910395,30.87324976910395,6.309552631808643,15.560591332650702,ions,H₂⁺,injection,100,18
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,18.965508650824585,18.965508650824585,24.258605351361425,27.9090679716977,27.9090679716977,6.043240817428619,14.959946139246203,ions,H₂⁺,injection,100,19
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,19.963693316657462,19.963693316657462,25.025767832463217,25.356402923611434,25.356402923611434,5.799776674139512,14.406511688048006,ions,H₂⁺,injection,100,20
