family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,voltage_kv,power_kw
injection_electrons_s10x10,1000,0.1,100031,100031,100031,100031,1.0,1.0,9.998651729884015,9.999231188946965,9.999064198875063,-0.0016700291126992006,0.004125246105091129,0.12195390519385677,1.2136214593196,10,500
injection_electrons_s10x10,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.684431909167126,9.035995078067401,-15.428399423701544,-9.627864614380165,16.459291696164048,46.2007524607263,15,100
injection_electrons_s10x10,25,0.0025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.550911303988768,4.996049617406108,-52.6481696844769,-50.03276689322129,8.94501599285438,24.7772767481556,15,100
injection_electrons_s10x10,50,0.005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.171248839563594,11.065761301870667,8.794519497228759,10.672534665821697,1.613964097855193,10.337309707569,15,100
injection_electrons_s10x10,75,0.007500000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.003204088013243,11.485684252873831,14.820053173133108,14.872330421764435,1.720090424617907,7.274018934184,15,100
injection_electrons_s10x10,100,0.01,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.023911371848065,9.484207850373693,-5.384160947293671,-5.145132497942195,0.8912219222315292,5.4868352158283,15,100
injection_electrons_s10x10,125,0.0125,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.029714309079251,9.849657968915617,-1.7952290026909457,-1.4901385206075868,0.5143286119098956,5.953085296965,15,100
injection_electrons_s10x10,150,0.015000000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.00370708521415,10.209112566959174,2.053293643999443,2.1048921670722143,0.4398715806269107,5.3377984537244,15,100
injection_electrons_s10x10,175,0.0175,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.00348317973982,9.887633680072726,-1.1580916125467744,-1.1103302006157278,0.3847482021781114,4.5130895858507,15,100
injection_electrons_s10x10,200,0.02,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.01033323016052,9.999673657214064,-0.10648569534467134,0.010220651320369534,0.3337035972612978,4.048402824052399,15,100
injection_electrons_s10x10,225,0.022500000000000003,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.003990241539386,10.090004801012785,0.8598025127637854,0.9136538965122121,0.3134858318053634,3.449850557089704,15,100
injection_electrons_s10x10,250,0.025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000246488727852,9.941090876973224,-0.5915415367141907,-0.5756861471507557,0.2936837932848566,3.7441839711928004,15,100
injection_electrons_s10x10,275,0.0275,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.003154792204315,9.976569809726541,-0.2657659811331925,-0.2208489779824574,0.26135557128247555,2.4148167506671,15,100
injection_electrons_s10x10,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.003311765386275,10.050128418643038,0.4680115381263894,0.5148363014302104,0.2538494390904574,3.000828571255699,15,100
injection_electrons_s10x10,1000,0.1,100031,100031,100031,100031,1.0,1.0,9.998651729884015,9.998731013816013,10.00092654976055,0.021958145903755444,0.022751266250575775,0.10718615459705176,1.3557529088750995,15,100
injection_electrons_s10x10,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.684431909167126,17.672442430586198,65.40366938389523,76.74825474485448,23.532192324746056,126.2720820830011,15,500
injection_electrons_s10x10,25,0.0025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.550911303988768,13.330604470642845,26.345526813434738,33.324020385671346,11.026555872500708,56.34827097197579,15,500
injection_electrons_s10x10,50,0.005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.171248839563594,12.98673595619838,27.68083999364219,29.884871551066894,6.616778489498851,30.7075929312975,15,500
injection_electrons_s10x10,75,0.007500000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.003204088013243,10.594171872461523,5.907784938192262,5.956004456056951,4.155994278483877,19.425376112234495,15,500
injection_electrons_s10x10,100,0.01,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.023911371848065,10.039243138670038,0.1529519391505474,0.40596882342349705,2.726103980679813,13.016114828163705,15,500
injection_electrons_s10x10,125,0.0125,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.029714309079251,10.202853524775701,1.726262686662161,2.042293305220011,1.8343052602290146,8.472960924372199,15,500
injection_electrons_s10x10,150,0.015000000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.00370708521415,10.045545266422343,0.4182267718537025,0.4689985990628198,1.281883284046307,6.898190635501297,15,500
injection_electrons_s10x10,175,0.0175,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.00348317973982,9.993768700473034,-0.0971109671725312,-0.04883687864022379,0.98164770780666,6.201032165745101,15,500
injection_electrons_s10x10,200,0.02,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.01033323016052,10.03186892761827,0.21513467097042938,0.3322167691367284,0.7864356448523578,4.895771645034501,15,500
injection_electrons_s10x10,225,0.022500000000000003,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.003990241539386,9.998702761248584,-0.052853712999900715,0.0005103824590291239,0.6287127083565444,3.6630210846626,15,500
injection_electrons_s10x10,250,0.025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000246488727852,9.9873479641296,-0.1289820667199515,-0.1130529001288183,0.5338585926461754,3.6868987985665003,15,500
injection_electrons_s10x10,275,0.0275,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.003154792204315,10.001130362756802,-0.02023790983510798,0.02478967104513341,0.47381394597524235,3.0802723079166006,15,500
injection_electrons_s10x10,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.003311765386275,10.006170021281545,0.02857309621357995,0.07519305202978721,0.4230329111278439,3.220475367484699,15,500
injection_electrons_s10x10,1000,0.1,100031,100031,100031,100031,1.0,1.0,9.998651729884015,9.998731013816013,9.998770238991025,0.00039230153263680734,0.0011852508739362833,0.12623832512401814,1.2794865151317993,15,500
injection_electrons_s10x10,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.516847471738828,6.449955549321632,-38.67025677938055,-35.49174705181524,12.724780386080072,34.1812708606824,20,100
injection_electrons_s10x10,25,0.0025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.444149176420426,5.1442280177046555,-50.74536057643939,-48.55078307878687,8.388952786180367,22.4963302776067,20,100
injection_electrons_s10x10,50,0.005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.203073108157119,9.276361238827839,-9.082674009151182,-7.223878884563916,1.1996666224056818,7.2485199447348,20,100
injection_electrons_s10x10,75,0.007500000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.024962967536013,11.632010561903805,16.030459160516774,16.33579082605707,1.8784786095691468,6.2666545227566015,20,100
injection_electrons_s10x10,100,0.01,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.002718392651676,10.380705132049133,3.778840156843155,3.8210492022962894,0.5876147237710171,5.6739221519162,20,100
injection_electrons_s10x10,125,0.0125,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.024684301303255,9.536733063282385,-4.86749730320618,-4.6198095411308815,0.6596411903086432,3.415913403226801,20,100
injection_electrons_s10x10,150,0.015000000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.018289166606506,9.940707318961401,-0.7744021594396022,-0.5795222444785142,0.31956534731279296,4.365986856872599,20,100
injection_electrons_s10x10,175,0.0175,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001866414607326,10.169051424930776,1.6715381249172045,1.704226726264202,0.32256557028771876,3.9657819365984,20,100
injection_electrons_s10x10,200,0.02,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001482865935104,9.950713126497675,-0.5076221208192067,-0.47945067676535835,0.2623056891313245,4.0585247755274,20,100
injection_electrons_s10x10,225,0.022500000000000003,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.007267721689104,9.929437962738575,-0.7777323552746074,-0.6922310028918521,0.24466271928219924,3.4635828288602992,20,100
injection_electrons_s10x10,250,0.025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.005229070546106,10.070128080915152,0.6486509195486434,0.7148598927344096,0.25097470694481533,3.2586805567882995,20,100
injection_electrons_s10x10,275,0.0275,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000427295185599,10.038930716577385,0.38501776229424856,0.402844181210793,0.21707400385319936,2.943605588846599,20,100
injection_electrons_s10x10,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000201000901502,9.943505921044506,-0.5669394030368369,-0.5515324498670982,0.22333468971986745,2.836040209835,20,100
