family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,power_kw,sigma_x_mm
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,16.969139319158835,16.969139319158835,28.64093651424146,68.78249377035111,68.78249377035111,12.941961529917132,31.699415148999798,200,17
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,17.967323984991708,17.967323984991708,29.067312183633693,61.778750179569975,61.778750179569975,12.360156752500508,30.255121248980096,200,18
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,18.965508650824585,18.965508650824585,29.548772300255802,55.802688155010685,55.802688155010685,11.831988318310357,29.043780395144598,200,19
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,19.963693316657462,19.963693316657462,30.078199471918843,50.66450378108123,50.66450378108123,11.35086600152035,27.843788383102897,200,20
injection_ions,1000,0.1,87963,99988,99988,99988,0.8797355682681922,1.0,3.0098933396435688,2.9945539974985853,55.22380162153236,1744.1411197681518,1734.742809460217,55.26690762835747,117.59383683455101,300,3
injection_ions,1000,0.1,92537,99988,99988,99988,0.9254810577269272,1.0,4.037507501272342,3.9927386633314605,53.57850300695334,1241.8985694958687,1227.0192808327693,53.647946403446205,121.0859470026339,300,4
injection_ions,1000,0.1,96126,99988,99988,99988,0.9613753650438053,1.0,5.037521211799768,4.990923329164335,51.994129621004724,941.7737599209014,932.1371848363622,52.131256237106065,126.6265765180116,300,5
injection_ions,1000,0.1,98703,99988,99988,99988,0.9871484578149378,1.0,6.015375897947458,5.989107994997211,50.162458797280635,737.5614338426035,733.9039762152996,50.30872878812466,126.7849928123097,300,6
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,6.987292660830085,6.987292660830085,47.71035259949149,582.8160049306356,582.8160049306356,42.31119270025712,107.21585584862821,300,7
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,7.98547732666296,7.98547732666296,44.502705475159466,457.2954959945599,457.2954959945599,38.20612870354148,97.8533179988001,300,8
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,8.983661992495835,8.983661992495835,41.81726891439306,365.48132542523916,365.48132542523916,34.56734870782857,88.44962854409259,300,9
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,39.714833540907186,297.8706035097193,297.8706035097193,31.48137121960636,80.2399461394573,300,10
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,10.980031324161585,10.980031324161585,38.149103904932744,247.44075657585375,247.44075657585375,28.922597466186534,73.25695774658669,300,11
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,11.97821598999446,11.97821598999446,37.01212697625711,208.99532123292616,208.99532123292616,26.789724469345945,67.5832605149007,300,12
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,12.976400655827335,12.976400655827335,36.20846718896542,179.0332092027786,179.0332092027786,24.988770417418188,62.8195997527629,300,13
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,13.974585321660209,13.974585321660209,35.66280389539757,155.19758242930646,155.19758242930646,23.444269501724662,58.869922405386106,300,14
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,14.972769987493084,14.972769987493084,35.32263439890857,135.9124893283871,135.9124893283871,22.10335340470817,55.412214152087614,300,15
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,15.970954653325961,15.970954653325961,35.146434574329554,120.06470707128511,120.06470707128511,20.924600435737727,52.33442948000129,300,16
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,16.969139319158835,16.969139319158835,35.10641645526617,106.88389549391952,106.88389549391952,19.880431773556374,49.677106725284105,300,17
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,17.967323984991708,17.967323984991708,35.17778667530343,95.78756805792447,95.78756805792447,18.94577656911932,47.37287313936991,300,18
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,18.965508650824585,18.965508650824585,35.34341581422168,86.35627688627805,86.35627688627805,18.10404226586182,45.30349454151421,300,19
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,19.963693316657462,19.963693316657462,35.58869286129429,78.26707862517364,78.26707862517364,17.340397897196656,43.4139794046664,300,20
injection_ions,1000,0.1,77940,99988,99988,99988,0.779493539224707,1.0,2.908008002386586,2.9945539974985853,56.237127460995545,1777.9800767650747,1833.8711384164708,56.29962846457079,119.49424953408659,400,3
injection_ions,1000,0.1,82246,99988,99988,99988,0.8225587070448453,1.0,3.945245330370254,3.9927386633314605,55.16316999150599,1281.5872924044309,1298.2190047058245,55.274952431319214,121.40903253737179,400,4
injection_ions,1000,0.1,86042,99988,99988,99988,0.860523262791535,1.0,4.9812284291558235,4.990923329164335,54.24219863013001,986.8169084699636,988.9321660625494,54.404218420563964,124.5960817434253,400,5
injection_ions,1000,0.1,89261,99988,99988,99988,0.8927171260551267,1.0,6.012840486140576,5.989107994997211,53.35730922552668,790.9057787920474,787.389401872771,53.548615025338485,126.1847985273999,400,6
