family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,species,species_label,voltage_kv,power_kw
injection_h2o_ions_s10x10,200,0.02,74869,99988,99988,99988,0.7487798535824299,1.0,9.453755305482295,9.98184665832871,53.6128556137193,437.1035786147396,467.1064448074814,54.49819416621399,139.3809912901521,h2o_ions,H₂O⁺,10,500
injection_h2o_ions_s10x10,1000,0.1,76303,99988,99988,99988,0.7631215745889507,1.0,9.497615960560656,9.98184665832871,53.75883144909209,438.56599173697475,466.02448101006013,54.719154750294095,147.17576880543788,h2o_ions,H₂O⁺,10,500
injection_h2o_ions_s10x10,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,19.40245222704791,94.37738217365603,94.37738217365603,10.374589554466247,26.586284271395396,h2o_ions,H₂O⁺,15,100
injection_h2o_ions_s10x10,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,19.393002967173885,94.28271772731192,94.28271772731192,10.364713337639465,26.5607451264958,h2o_ions,H₂O⁺,15,100
injection_h2o_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,19.168098106916354,92.02957892488529,92.02957892488529,10.129541219272099,25.962055824484395,h2o_ions,H₂O⁺,15,100
injection_h2o_ions_s10x10,0,0.0,89575,99988,99988,99988,0.895857502900348,1.0,9.628551268821772,9.98184665832871,51.45234337836319,415.4591644165571,434.37263760510996,52.39307018674928,140.3100578146917,h2o_ions,H₂O⁺,15,500
injection_h2o_ions_s10x10,200,0.02,89615,99988,99988,99988,0.8962575509061087,1.0,9.6297991532897,9.98184665832871,51.44581239711674,415.3937358293427,434.23557000710645,52.3499931183786,144.8133991882681,h2o_ions,H₂O⁺,15,500
injection_h2o_ions_s10x10,1000,0.1,90631,99988,99988,99988,0.9064187702524303,1.0,9.662830588672664,9.98184665832871,51.33039814835032,414.23749437706465,431.214923798031,52.26266400314155,141.1956136932372,h2o_ions,H₂O⁺,15,500
injection_h2o_ions_s10x10,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,17.623420631481387,76.55471211608584,76.55471211608584,8.48438604332326,21.488097052633798,h2o_ions,H₂O⁺,20,100
injection_h2o_ions_s10x10,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,17.617842662975697,76.49883098810801,76.49883098810801,8.47851538886952,21.473444030157303,h2o_ions,H₂O⁺,20,100
injection_h2o_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,17.48478980770848,75.16588268884519,75.16588268884519,8.338427429923037,21.1242447656788,h2o_ions,H₂O⁺,20,100
injection_h2o_ions_s10x10,0,0.0,96162,99988,99988,99988,0.9617354082489898,1.0,9.873453355322116,9.98184665832871,48.832325093746825,389.21133298518293,394.5820204581672,49.82000627675346,140.0461922097827,h2o_ions,H₂O⁺,20,500
injection_h2o_ions_s10x10,200,0.02,96182,99988,99988,99988,0.9619354322518702,1.0,9.874527670932025,9.98184665832871,48.81949053871358,389.0827540210638,394.39823519280964,49.80252254978235,147.77078979981388,h2o_ions,H₂O⁺,20,500
injection_h2o_ions_s10x10,1000,0.1,96836,99988,99988,99988,0.9684762171460575,1.0,9.898229265859163,9.98184665832871,48.68734135318266,387.75885885362345,391.87930533306974,49.680134704461516,137.9991060690929,h2o_ions,H₂O⁺,20,500
injection_h2o_ions_s10x10,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,16.438945412356553,64.68841863684744,64.68841863684744,7.208158286892904,18.076613610600297,h2o_ions,H₂O⁺,25,100
